name,tot_appearances,tot_goals,tot_shots,tot_assists,tot_k_passes,tot_cautions,tot_ejections,avg_game_time
Yaya Touré,96,21,203,8,103,13,0,72
Abdoulaye Touré,142,9,162,4,80,13,1,71
El Bilal Touré,40,7,30,1,14,6,0,42
Almamy Touré,97,7,60,17,80,10,0,67
Zargo Toure,52,5,26,0,10,6,1,85
Thomas Touré,59,4,86,6,55,9,0,48
Kolo Touré,26,1,5,0,2,1,0,60
Alassane Toure,13,1,7,0,7,5,0,73
Birama Touré,24,0,14,2,12,4,0,76
Ahmad Toure Ngouyamsa Nounchili,4,0,0,0,0,2,0,53
Fode Toure,108,0,18,7,58,18,1,70
